run_id,time_now,model,maturity,eval_period,eval_end,r2_oos,rsz_pvalue,dataset,start_date,end_date,revised_macro_static_X,expanding_window_realtime,frequency,gap,winsorized
20260603_093039,2026-06-03 12:58:01,ElasticNet fwd-only (10),24,2025,2025-06-30,-0.08499994969277758,0.7727442776273219,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 13:00:27,ElasticNet fwd-only (10),36,2018,2018-12-31,-0.1749736045480339,0.7807797521661386,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 13:00:27,ElasticNet fwd-only (10),36,2025,2025-06-30,-0.13870692567055753,0.7368104457933907,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 13:02:54,ElasticNet fwd-only (10),48,2018,2018-12-31,-0.16939733566469273,0.7272201209158717,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 13:02:54,ElasticNet fwd-only (10),48,2025,2025-06-30,-0.15522763307581688,0.7684061665506716,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 13:05:23,ElasticNet fwd-only (10),60,2018,2018-12-31,-0.16737727402673985,0.7621373030273251,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 13:05:23,ElasticNet fwd-only (10),60,2025,2025-06-30,-0.169769578229519,0.8401411844897171,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 13:07:54,ElasticNet fwd-only (10),84,2018,2018-12-31,-0.22075187313411426,0.866463050524566,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 13:07:54,ElasticNet fwd-only (10),84,2025,2025-06-30,-0.22511088400085777,0.9165582089035887,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 13:10:26,ElasticNet fwd-only (10),120,2018,2018-12-31,-0.22327816660624333,0.8018237786546997,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 13:10:26,ElasticNet fwd-only (10),120,2025,2025-06-30,-0.2265446767284438,0.8517900811540139,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_154208,2026-06-03 16:17:13,ElasticNet 10 forwards + macro (direct),120,2018,2018-12-31,-0.014985287375364198,0.01878352738512712,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_154208,2026-06-03 16:17:13,ElasticNet 10 forwards + macro (direct),120,2025,2025-06-30,-0.029693583767756104,0.031268290534744,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 08:55:17,ElasticNet fwd-only (10),24,2018,2018-12-31,-0.14556476693016562,0.9718095373288347,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 08:55:17,ElasticNet fwd-only (10),24,2025,2025-06-30,-0.08499994969277758,0.7727442776273219,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 08:57:43,ElasticNet fwd-only (10),36,2018,2018-12-31,-0.1749736045480339,0.7807797521661386,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 08:57:43,ElasticNet fwd-only (10),36,2025,2025-06-30,-0.13870692567055753,0.7368104457933907,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 09:00:11,ElasticNet fwd-only (10),48,2018,2018-12-31,-0.16939733566469273,0.7272201209158717,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 09:00:11,ElasticNet fwd-only (10),48,2025,2025-06-30,-0.15522763307581688,0.7684061665506716,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 09:02:40,ElasticNet fwd-only (10),60,2018,2018-12-31,-0.16737727402673985,0.7621373030273251,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 09:02:40,ElasticNet fwd-only (10),60,2025,2025-06-30,-0.169769578229519,0.8401411844897171,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 09:05:11,ElasticNet fwd-only (10),84,2018,2018-12-31,-0.22075187313411426,0.866463050524566,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 09:05:11,ElasticNet fwd-only (10),84,2025,2025-06-30,-0.22511088400085777,0.9165582089035887,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 09:07:44,ElasticNet fwd-only (10),120,2018,2018-12-31,-0.22327816660624333,0.8018237786546997,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260604_085253,2026-06-04 09:07:44,ElasticNet fwd-only (10),120,2025,2025-06-30,-0.2265446767284438,0.8517900811540139,kr,1971-08-31,2025-06-30,False,True,annual,11,False
